signature,technique_id,technique_name,tactic,description
ET ATTACK_RESPONSE Obfuscated Eval String (Single Q) 3,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String (Single Q) 4,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String (Single Q) 5,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String (Single Q) 6,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String (Single Q) 7,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String 1,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String 2,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String 3,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String 4,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String 5,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String 6,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated Eval String 7,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated JS - Possible URL Encoded JS Inbound,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated JS - URL Encoded Unescape Function Call Inbound,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Obfuscated PowerShell Payload Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Observed AsyncRat Installer Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Observed ClickFix Landing Page Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Observed Portuguese JS Dropper Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Observed Portuguese JS Dropper Inbound M2,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible /etc/shadow via HTTP M1,T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible /etc/shadow via HTTP M2,T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible /etc/shadow via HTTP M3,T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible /etc/shadow via HTTP M4,T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible arp command output via HTTP (Linux Style),T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible arp command output via HTTP (MacOS Style),T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible arp command output via HTTP (Windows Style),T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible ELEFANTE/ElephantBeetle Lateral Movement Activity,T1570,Lateral Tool Transfer,Lateral Movement,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible hosts File Output via HTTP (Linux Style),T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible hosts File Output via HTTP (Windows Style),T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible WebShell Upload Attempt via Directory Traversal M1,T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Possible WebShell Upload Attempt via Directory Traversal M2,T1505,Server Software Component,Persistence,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ReverseLoader Base64 Encoded Executable In Image M1,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ReverseLoader Base64 Encoded Executable In Image M2,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE RMM Payload Delivery Page Observed,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE ScreenConnect RMM Payload Delivered via Fake Docusign Page,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE TA399 Fake 404 WebPage Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE Unknown Payload Downloader Inbound,T1105,Ingress Tool Transfer,Command And Control,Mapped from ET Open rule metadata.
ET ATTACK_RESPONSE VBA/Subdoc.B Obfuscated Payload Inbound,T1027,Obfuscated Files or Information,Defense Evasion,Mapped from ET Open rule metadata.
ET COINMINER CoinMiner Exfiltration via IRC Config Inbound (Italian),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER CoinMiner Malicious Authline Seen After CVE-2017-10271 Exploit,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
