signature,technique_id,technique_name,tactic,description
ET MALWARE Observed Win32/Lumma Stealer Related Domain (slimmybearz .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (slimtvsocico .fun) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sliperyedhby .icu in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (slipperyloo .lat in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (slippyhost .cfd in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (slovenecow .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (smaridge .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (smartbitsx .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (smarture .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (smash-boiling .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (smeltd .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (smeltingt .run) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (smp .rodeo in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (snail-r1ced .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (snakejh .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soberano .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sobrattyeu .bond in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sockvoicep .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (SoftNestl .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (solarnatgure .run in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soliduso .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (solveajbject .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soqulfonections .tech in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sorcery .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sordid-snaked .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sorrij .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soulfujltraveler .hair) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soulvlight .cloud in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soundtappysk .shop in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soundtu .sbs) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soupedburhsh .biz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soupinterestoe .fun) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (souptapedentisttactiwe .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (soursopsf .run in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spacedbv .world) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sparkiob .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sparklfm .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (specimennativqepthhy .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spellshagey .biz in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spicywind .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spilliv .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spjeo .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spliba .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sponfht .com) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spookycappy .biz in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spotlessaja .click) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sprimvd .my in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (springvc .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sprmendu .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spuriotis .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sputnik-1985 .com in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (spxtdaspcpik .eza in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sqgzl .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (squatje .su) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (squeaue .su) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (squezzepreca .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sstemxehg .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starcloc .bet) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stare-roar .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starexs .bet) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starfiswh .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starjetv .run) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starofliught .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starpopz .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starrynsightsky .icu in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starsciw .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (starzone .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (statehaller .fun) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stathas .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (statisnv .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (steelixr .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (steelmor .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (steep-number .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stem-mellows .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stematockeoff .shop in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (steppriflej .xyz in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sterilizeflow .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sterpickced .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stewwybravez .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (steycools .pw) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stfota .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sticka .qpon) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stifp .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stingyerasjhru .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stir-zing .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stochalyqp .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stockwises .eu) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stockyslam .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stolewnica .ru) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stomachyumem .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stoneuf .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stormlegue .com in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (storyspaddr .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (straigxo .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (strawpeasaen .fun in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (streamin .style) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (strejqt .bet) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (strengbllk .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (strikql .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stripedre-lot .bond in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (strivehelpeu .bond in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (strujqwn .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stuffgull .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (stupid-edsee .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (styleclinic-beautyicon .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (subawhipnator .life in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (submiytinh .biz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (suggestyuoz .biz in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (suiatcarew .biz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (superyupp .fun) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (supplyedtwoz .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (supporse-comment .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (supryov) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (surmisehotte .click) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (surprql .cyou) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sustainskelet .lat in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (swalocf .lat) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sweepyribs .lat in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (swenku .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (swigddmb .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (swoenship .run) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sworwdcp .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (sxzkfc .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (syncarpiajanapiom .fun) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (synmedsp .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tacitglibbr .biz in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tackybrushz .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tailyoveriw .my in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (talktaitoovee .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (talkynicer .lat in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tamedgeesy .sbs in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tampermonkey02 .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tampermonkey03 .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tampermonkey08 .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tangmwp .club) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (taretool .pw) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (taretories .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tarewry .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (targett .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tawdrydadysz .icu in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tbczyczdp .eza in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (teach-shave .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (teachherwjw .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (teaspdj .top) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tecchsavvy .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (techchaiun .live) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (techguidet .digital) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (techmindzs .live in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (techspherxe .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (techsyncq .run) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (techwaveg .run) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (teentyinch .fun in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (teleportfilmona .online) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (temoolda .pw) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (templfuw .my) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tentabatte .lat in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tentyshoeu .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (terracedjz .cyou in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (testcawepr .run) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (testylaughge .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tetrwoo .asia in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thankyowmn .store) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (tharq .shop) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (theadventureclubstop .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thebeautylovelytop .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thefashionist .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thehealthylifesstop .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thesishsej .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thicew .xyz) in TLS SNI,T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thicktoys .sbs in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thiefbshadow .run in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thingspouter .top in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
ET MALWARE Observed Win32/Lumma Stealer Related Domain (thingssalver .click in TLS SNI),T1071,Application Layer Protocol,Command And Control,Mapped from ET Open rule metadata.
